participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.contest_status,group.have_contest_winner,player.is_english_winner,player.english_dropout_elpased,group.english_time_elapsed,group.english_final_price,player.is_final_winner,group.final_price,player.payoff,group.auctioneer_utility,predict.player.optimal_dutch_bid,predict.player.is_dutch_winner,predict.player.contest_status,predict.player.english_dropout_elapsed,predict.player.is_english_winner,predict.player.is_final_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.english_time_elapsed,predict.group.english_final_price,predict.group.final_price,predict.group.auctioneer_utility
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,1,4,1,21,14.0,0,1,12.77394199,9.0,1,2.0,0,5.240510225,5.24043417,14.0,0,14.0,0.0,9.20817594144,3.9528535495898556,0.0,1.0,1.808663542201339,0.0,0.0,0.0,8.808663542201339,12.191336457798661,1.808663542201339,14.0,14.0,11.175790995548887
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,2,4,1,21,39.0,1,1,5.518969536,16.0,1,2.0,1,21.06497121,21.06497121,37.0,1,37.0,0.0,18.311489655562,17.297944343158562,1.0,1.0,20.702055656841438,1.0,1.0,0.5363218850400253,3.702055656841438,17.297944343158562,20.702055656841438,38.0,38.0,20.380231631520964
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,3,1,2,21,50.0,1,1,15.63547468,6.0,1,2.0,1,8.29510951,8.29510951,14.0,1,14.0,20.3,7.634464605460002,21.0,1.0,1.0,,1.0,1.0,29.0,0.0,21.0,0.0,21.0,21.0,21.0
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,4,3,1,21,16.0,0,1,17.55992961,4.0,1,2.0,1,5.620853424,5.620853424,10.0,1,10.0,3.4,5.595651223539999,4.875530263386925,1.0,1.0,6.124469736613075,1.0,1.0,2.886350750043516,16.124469736613076,4.875530263386925,6.124469736613075,11.0,11.0,6.3499716500957355
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,5,5,2,21,28.0,1,1,17.90287971,4.0,1,2.0,1,3.85253191,3.85253191,7.0,1,7.0,12.6,4.10653025454,11.086304628440416,1.0,1.0,,1.0,1.0,13.727828124660604,9.913695371559584,11.086304628440416,0.0,11.086304628440416,11.086304628440416,8.9980859376697
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,6,2,2,21,46.0,1,1,18.82962012,3.0,1,2.0,1,9.285232782,9.285232782,12.0,1,12.0,15.9,5.589813538343999,21.0,1.0,1.0,10.0,1.0,1.0,12.15,0.0,21.0,10.0,31.0,31.0,25.110000000000003
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,7,1,2,21,41.0,0,1,14.76709938,7.0,1,2.0,0,31.71007681,31.7100203,38.0,0,38.0,0.0,4.443519591039999,18.454974306794078,0.0,1.0,20.0,0.0,0.0,0.0,0.0,21.0,20.0,41.0,41.0,25.419999999999998
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,8,4,2,21,13.0,1,1,18.42746615,3.0,1,2.0,0,10.37317085,10.37311649,13.0,0,13.0,0.0,5.88625608792,3.510446408336907,0.0,1.0,7.15925008643086,0.0,0.0,0.0,15.159250086430859,5.84074991356914,7.15925008643086,13.0,13.0,7.487330457303156
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,9,3,2,21,27.0,0,1,6.969762802,15.0,1,2.0,0,12.58704424,12.58699107,27.0,0,27.0,0.0,16.967385263664,10.539141368877464,0.0,1.0,13.128017831100292,0.0,0.0,0.0,7.128017831100292,13.871982168899708,13.128017831100292,27.0,27.0,16.6086537052911
vkzrxhgy,p07,7,27.07,48.9,131.6,2022/11/2 2:36:34,2022110202,p66lw61j,221,0.15,0,1,0,02_D2H1,2,21,1,0,0,18,0.019,5,0,10,4,1,21,47.0,1,1,12.741153,9.0,1,2.0,1,7.274183989,7.274183989,16.0,1,16.0,19.2,9.915337555344,21.0,1.0,1.0,,1.0,1.0,26.0,0.0,21.0,0.0,21.0,21.0,21.0
