participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.contest_status,group.have_contest_winner,player.is_english_winner,player.english_dropout_elpased,group.english_time_elapsed,group.english_final_price,player.is_final_winner,group.final_price,player.payoff,group.auctioneer_utility,predict.player.optimal_dutch_bid,predict.player.is_dutch_winner,predict.player.contest_status,predict.player.english_dropout_elapsed,predict.player.is_english_winner,predict.player.is_final_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.english_time_elapsed,predict.group.english_final_price,predict.group.final_price,predict.group.auctioneer_utility
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,1,1,3,27,9.0,0,1,11.41140723,16.0,2,3.0,0,,22.32360911,38.0,0,38.0,0.0,13.643318202519998,5.038583853275346,0.0,0.0,,0.0,0.0,0.0,2.8652472428955136,24.134752757104486,10.865247242895514,35.0,35.0,25.869221166948968
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,2,2,5,27,6.0,0,1,12.0567739,15.0,0,2.0,0,,6.197757244,22.0,0,22.0,0.0,14.369605981808002,3.118704380773951,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,3,1,4,27,10.0,0,1,4.800351381,23.0,0,2.0,0,,4.115204096,27.0,0,27.0,0.0,22.426320040299,5.699316983735735,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,4,2,1,27,19.0,0,1,4.08626318,23.0,0,3.0,0,,11.09833384,35.0,0,35.0,0.0,24.9022429817,11.899914652520053,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,7.0,34.0,34.0,29.478
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,5,2,1,27,6.0,0,1,3.280691385,24.0,2,2.0,0,,3.99862361,28.0,0,28.0,0.0,24.12740442266,3.118704380773951,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,2.0,29.0,29.0,27.898
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,6,1,3,27,49.0,1,1,3.144359589,24.0,1,3.0,1,11.08015156,11.08015156,35.0,1,35.0,12.2,25.540700085915,27.0,1.0,1.0,9.0,1.0,1.0,11.947000000000001,0.0,27.0,9.0,36.0,36.0,29.843999999999998
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,7,1,4,27,33.0,1,1,2.477826595,25.0,1,4.0,0,2.586718798,6.131790161,31.0,0,31.0,0.0,25.928935730716002,21.951922425187544,0.0,1.0,6.0,0.0,0.0,0.0,0.0,27.0,14.0,41.0,41.0,30.094
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,8,1,2,27,45.0,1,1,2.848551989,25.0,1,2.0,1,14.78501606,14.78501606,39.0,1,39.0,5.1,25.933526075691,27.0,1.0,1.0,13.0,1.0,1.0,4.415,0.0,27.0,13.0,40.0,40.0,30.12
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,9,2,2,27,15.0,0,1,9.455847025,18.0,2,1.0,0,,0.0,18.0,0,18.0,0.0,14.76610031745,9.101158592783273,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0
nxc5jidi,p10,10,47.05,12.6,81.5,2022/11/2 23:09:30,2022110223,a2ehf0h4,512,0.5,0,1,0,05_D1H2,2,27,1,0,0,28,0.009,10,1,10,2,4,27,5.0,0,1,2.851428986,25.0,2,2.0,0,,9.165097952,34.0,0,34.0,0.0,26.237323598052,2.5071909582188905,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,7.0,34.0,34.0,29.478
